id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
781482,9371,2001,839,4,000000001111,6456,1,5,36
781507,20413,2001,1884,11,011111111111,14493,1,2,1
782057,22025,2001,824,12,111111111111,6338,1,3,32
782082,2638,2001,158,6,000001101111,1215,1,3,14
782160,10828,2001,1239,12,111111111111,12395,1,1,1
782358,,2001,1164,4,,8952,2,2,-9
782495,18286,2001,53,2,110000000000,405,1,4,36
782498,5689,2001,360,5,000111110000,2769,1,3,17
782552,17600,2001,2113,12,111111111111,16256,1,1,1
782590,14089,2001,138,7,000111110011,1061,1,2,26
782650,21858,2001,9,1,000000000010,93,1,2,14
782679,,2001,1101,8,,8811,2,4,-9
782697,23785,2001,470,1,000000000001,3615,1,4,1
782906,9490,2001,15,1,100000000000,115,1,2,36
783553,14060,2001,36,4,001111000000,274,1,3,36
783567,,2001,6823,3,,52483,2,3,-9
783792,28388,2001,98,1,010000000000,976,1,1,36
783994,4792,2001,101,1,000000001000,775,1,2,36
784012,,2001,588,3,,4700,2,4,-9
784260,,2001,107,1,,826,2,3,-9
784405,24884,2001,67,2,000000100001,671,1,3,17
784405,,2001,1954,2,,15634,2,3,-9
784581,1826,2001,142,2,011000000000,1092,1,4,36
784590,28510,2001,1373,6,011010101010,10560,1,5,5
784637,,2001,3181,3,,24473,2,1,-9
784748,5604,2001,1512,8,011111110001,11631,1,2,13
784888,,2001,778,3,,5985,2,3,-9
784996,24520,2001,775,1,000000000001,7747,1,2,1
785155,4992,2001,4648,4,001001001001,46481,1,2,1
785278,8413,2001,682,5,111110000000,6817,1,2,36
785450,,2001,24,2,,187,2,4,-9
785498,30611,2001,356,6,111111000000,2741,1,3,36
785665,20022,2001,785,1,000000000001,7850,1,3,1
785723,15851,2001,339,3,000000000111,2606,1,3,36
785777,17505,2001,199,8,000011111111,1988,1,2,1
785781,24686,2001,2686,1,000000000001,20658,1,5,36
785809,22074,2001,81,1,000000000001,620,1,3,36
785834,30506,2001,176,1,000000000001,1351,1,1,13
785888,,2001,35,1,,277,2,3,-9
786054,23007,2001,641,9,000111111111,4930,1,3,36
786151,2973,2001,957,12,111111111111,7361,1,3,26
786647,9403,2001,46,2,011000000000,358,1,3,36
786751,4498,2001,37,1,010000000000,367,1,3,1
786983,23598,2001,795,2,000000000011,6118,1,1,36
787122,27548,2001,41,6,101110100010,318,1,2,32
787365,12741,2001,393,1,000001000000,3925,1,3,36
787388,1612,2001,2646,11,111111111110,20356,1,3,17
787469,1698,2001,187,1,000000000001,1438,1,1,35
787560,20898,2001,826,4,001001001010,8263,1,1,1
787990,28354,2001,2185,3,001000000011,16809,1,3,36
788147,2896,2001,2479,12,111111111111,24790,1,1,1
788349,1845,2001,2952,12,111111111111,22704,1,1,36
788726,,2001,414,1,,3314,2,1,-9
788884,,2001,1186,3,,9485,2,4,-9
788952,2638,2001,100,3,000000000111,769,1,3,14
789084,17052,2001,3683,10,011110111111,28330,1,1,36
789457,,2001,745,2,,5962,2,2,-9
789463,,2001,1624,3,,12491,2,1,-9
789596,30323,2001,29,1,000000001000,226,1,1,36
789637,19914,2001,498,1,000000000001,3834,1,1,34
789730,9536,2001,1209,1,000000000001,9300,1,3,1
789784,23671,2001,1209,12,111111111111,9296,1,3,1
790188,26349,2001,1954,5,000000011111,15033,1,1,36
790621,2932,2001,1142,10,011111110111,8784,1,1,1
790785,,2001,207,1,,1656,2,2,-9
790802,11714,2001,2418,9,000111111111,23514,1,2,36
791162,14055,2001,3838,12,111111111111,29525,1,1,1
791363,14446,2001,1291,5,001111100000,9931,1,1,14
791562,7486,2001,1222,7,010011011110,9400,1,4,36
791574,9190,2001,261,1,000000000010,2610,1,3,14
791750,,2001,4133,3,,32127,2,2,-9
791771,2523,2001,104,1,000000000001,799,1,2,34
791983,23420,2001,1941,12,111111111111,14934,1,3,13
792163,17466,2001,3415,4,000100100101,34153,1,2,1
792313,2599,2001,2859,10,011111111110,28591,1,2,1
792320,,2001,545,2,,4192,2,4,-9
792546,13903,2001,3811,9,000111111111,38109,1,1,1
792822,30434,2001,1678,1,000000000001,12911,1,3,1
793300,9773,2001,33,2,000001100000,250,1,3,20
793304,7113,2001,413,2,000000000011,4132,1,1,36
793401,21969,2001,223,1,000000000001,1716,1,3,26
793467,17877,2001,806,1,000000000001,6200,1,2,1
793542,6922,2001,6043,12,111111111111,46481,1,3,36
793593,8976,2001,806,1,000000000001,6197,1,4,36
794043,18845,2001,509,6,010101100101,5090,1,1,15
794160,11243,2001,843,6,000000111111,6484,1,2,36
794274,9886,2001,3893,12,011111111111,29947,1,2,13
794439,9225,2001,4892,11,011111111111,37634,1,1,13
794735,27483,2001,265,2,000011000000,2655,1,3,14
794747,3930,2001,123,1,000000000100,946,1,5,36
794747,17069,2001,1608,12,111111111111,12367,1,5,1
794952,9728,2001,2686,1,000000000001,20658,1,3,1
795900,23752,2001,1611,11,011111111111,12395,1,2,34
795935,,2001,38,2,,291,2,4,-9
796392,20447,2001,4035,11,101111111111,40346,1,2,1
796717,9970,2001,613,5,011111000000,4716,1,2,14
796717,21728,2001,155,2,000011000000,1196,1,2,36
797116,23398,2001,775,1,000000000001,7747,1,2,1
797190,9650,2001,6715,5,000000011111,51654,1,5,1
797190,10352,2001,53,2,000000000011,405,1,1,4
797190,24302,2001,1317,7,000001111111,10484,1,1,1
797223,23372,2001,1239,11,111111111110,12395,1,1,36
797242,12384,2001,10,1,000000010000,79,1,1,36
797506,14089,2001,34,1,100000000000,258,1,2,26
797722,12198,2001,403,1,000000000001,3100,1,1,1
797972,5557,2001,11,1,010000000000,114,1,3,17
798019,24562,2001,275,1,001000000000,2117,1,1,13
798051,5600,2001,101,1,000000000010,775,1,3,14
798113,8927,2001,4566,1,000000000001,35123,1,1,1
798432,21924,2001,22,2,001000001000,167,1,2,32
798506,11931,2001,8728,1,000000010000,67139,1,2,1
798514,13736,2001,336,1,000000000100,2582,1,2,5
798900,2540,2001,294,6,000000111111,2260,1,3,29
798997,20716,2001,877,12,111111111111,6746,1,1,26
799043,15785,2001,243,7,111100011100,1871,1,1,14
799351,11747,2001,988,10,001111111111,7604,1,3,36
799415,28532,2001,1223,3,001010000001,12235,1,1,1
799715,1189,2001,4,1,000100000000,36,1,2,1
799803,16459,2001,2844,12,111111111111,21874,1,3,36
800041,5239,2001,146,1,000000100000,1456,1,3,36
800041,30065,2001,52,1,000000000001,516,1,2,1
800208,15338,2001,775,1,000001000000,7747,1,3,1
800283,29584,2001,186,2,000001000001,1859,1,2,1
800426,8027,2001,2014,12,111111111111,15494,1,1,13
800476,,2001,1362,1,,10477,2,1,-9
800556,24253,2001,2,1,000001000000,12,1,1,36
800677,13809,2001,671,1,000000000001,5165,1,1,13
800677,20228,2001,1370,1,000010000000,10536,1,1,13
800979,3767,2001,2814,11,111111011111,21644,1,2,13
801031,18072,2001,4700,2,000001000001,36152,1,1,1
801031,30994,2001,3357,2,000001000001,25823,1,1,36
801325,163,2001,14,1,000010000000,139,1,3,1
801490,,2001,5616,10,,43199,2,5,-9
801799,9403,2001,625,7,000001111111,4807,1,3,36
801845,3001,2001,1376,12,111111111111,10583,1,2,36
801893,5019,2001,1180,8,111111101000,9074,1,1,5
801911,16374,2001,1168,6,111111000000,8986,1,3,3
801997,28031,2001,1859,2,000000001001,18592,1,1,1
802125,5930,2001,671,2,100000000001,5165,1,1,13
802139,27156,2001,232,4,000000111100,1788,1,1,36
802150,6380,2001,108,7,000001111111,1085,1,1,36
802159,19506,2001,310,1,000000000001,3099,1,2,1
802326,23512,2001,669,11,001111111111,5149,1,4,3
802407,28780,2001,29,1,000000100000,289,1,1,36
802471,15248,2001,906,2,000000000011,6972,1,1,36
802552,15747,2001,3303,12,111111111111,33027,1,2,1
802728,24365,2001,1235,8,000011111111,9503,1,3,36
802791,,2001,34,2,,262,2,4,-9
802851,758,2001,525,9,000111111111,4036,1,1,36
803078,28037,2001,194,6,001110101010,1492,1,1,36
803135,28373,2001,1291,2,000000000011,12911,1,2,1
803293,22892,2001,24,1,001000000000,187,1,1,36
803599,29863,2001,434,1,000000000001,3341,1,3,36
803775,27548,2001,4,1,100000000000,28,1,2,32
804072,5017,2001,9937,8,001001111111,76436,1,2,1
804298,14089,2001,37,2,000000000011,282,1,2,26
804498,8060,2001,2820,12,111111111111,21691,1,2,1
804566,1626,2001,2582,11,011111111111,25823,1,3,1
804623,9599,2001,270,6,000000111111,2074,1,2,36
804623,19241,2001,43,6,000000111111,334,1,2,36
804750,,2001,1421,5,,10928,2,3,-9
804861,8017,2001,4031,11,011111111111,31007,1,1,36
804879,21813,2001,206,4,001100001001,2055,1,2,1
805698,,2001,4234,3,,33868,2,3,-9
805983,22785,2001,5,1,000000100000,52,1,3,36
806452,30546,2001,292,3,000011010000,2923,1,3,13
806576,3067,2001,134,2,000000000011,1033,1,1,1
806592,,2001,2764,3,,21261,2,1,-9
806625,27501,2001,1095,11,011111111111,8422,1,2,29
807031,8992,2001,180,2,000000000110,1385,1,1,36
807089,8197,2001,44,2,000000001010,342,1,3,32
807457,1801,2001,1044,8,011111111000,8033,1,1,17
807599,22444,2001,2377,8,001111110101,18287,1,1,14
807601,3117,2001,323,3,000110100000,3233,1,2,1
807636,14071,2001,1549,9,000111111111,15494,1,1,1
807887,2859,2001,259,1,000010000000,1994,1,2,36
807937,30640,2001,834,1,000000100000,6416,1,5,36
808116,2988,2001,3257,11,011111111111,25052,1,2,36
808144,959,2001,87,1,000001000000,667,1,2,36
808242,16489,2001,1664,6,101101000110,12800,1,1,36
808306,17654,2001,506,2,000010000001,5061,1,1,1
808306,20862,2001,4,1,000000000001,41,1,1,1
808307,27548,2001,10,4,100101100000,75,1,2,32
808481,20501,2001,367,7,000010111111,2825,1,4,36
808612,15218,2001,1033,1,000000000001,10329,1,2,1
808796,6528,2001,4028,4,010010001010,30987,1,1,1
808890,,2001,4185,7,,32191,2,1,-9
