id_individual,contribution,cont_type,contribution_year,work_area,compensation
38384,618.19970703,1,1997,1,6182
38695,319.45996094,1,1997,3,3194.5996094
38700,79.119995117,1,1997,2,791.19970703
38787,1678.1796875,2,1997,1,16781.796875
38863,2213.4199219,1,1997,2,22134.1875
39021,2.2399997711,1,1997,1,22.399993896
39121,7.2599983215,1,1997,1,72.599975586
39211,183.7598877,1,1997,3,1837.5996094
39269,1373.7792969,1,1997,1,13737.796875
39360,5887.609375,1,1997,3,58876.09375
39648,1962.5390625,1,1997,2,19625.390625
39972,1363.6992188,1,1997,2,13637
40242,3059.3085938,1,1997,1,30593.09375
40252,131.52990723,1,1997,1,1315.2998047
40303,7.2999992371,1,1997,1,73
40625,29.299987793,1,1997,2,293
40839,53.969970703,1,1997,2,539.69970703
41139,674.61962891,1,1997,1,6746.1992188
41201,1.3699998856,1,1997,1,13.699996948
41622,126.9699707,1,1997,3,1269.6992188
41668,951.30957031,1,1997,1,9513.09375
41964,3189.1191406,1,1997,1,31891.1875
42239,161.90991211,1,1997,1,1619.0996094
42343,63.029998779,1,1997,2,630.29980469
42363,2660.7890625,1,1997,1,26607.890625
42418,269.58984375,1,1997,1,2695.8984375
42584,245.31994629,1,1997,2,2453.1992188
42616,207.05993652,1,1997,1,2070.5996094
42635,3.5299987793,1,1997,5,35.299987793
42741,3713.8398438,2,1997,1,37138.375
43312,30.259994507,1,1997,1,302.59985352
43619,490.62988281,1,1997,1,4906.296875
43815,235.5,1,1997,3,2355
43895,83.439941406,1,1997,1,834.39990234
44339,2513.7382813,1,1997,1,25137.390625
44754,1044.3291016,1,1997,2,10443.296875
45003,1079.3896484,1,1997,2,10793.898438
45029,1673.8398438,1,1997,3,16738.390625
45721,343.43994141,1,1997,2,3434.3984375
46354,1471.8994141,1,1997,1,14719
46481,226.92993164,1,1997,1,2269.2988281
46557,1721.0996094,2,1997,1,17211
46615,2943.7988281,1,1997,1,29438
46649,5.2999992371,1,1997,1,53
46688,6.1799964905,1,1997,1,61.799987793
47122,1000.8896484,1,1997,3,10008.898438
47346,791.31982422,3,1997,1,7913.1992188
47667,1332.5898438,1,1997,2,13325.898438
47902,5.219997406,1,1997,1,52.199981689
47965,2208.5097656,1,1997,1,22085.09375
48086,3376.3496094,1,1997,3,33763.5
48149,2551.2988281,1,1997,1,25513
48415,120.87994385,1,1997,2,1208.7998047
48460,594.37988281,2,1997,2,5943.796875
